St_Code;Lat_dec;Long_dec
177;25927;59.65;154.266666666667
178;25932;60.6833333333333;160.4
179;25954;60.35;166
180;25956;60.4333333333333;169.666666666667
181;26038;59.3833333333333;24.5833333333333
182;26063;59.9666666666667;30.3
183;26069;59.35;30.1333333333333
184;26094;59.65;33.55
185;26157;58.7333333333333;27.8333333333333
186;26188;58.6833333333333;32.7
187;26231;58.3666666666667;24.5
188;26258;57.8166666666667;28.3333333333333
189;26275;58.0166666666667;31.3166666666667
190;26298;57.9;34.05
191;26359;57.0166666666667;28.9
192;26406;56.4833333333333;21.0166666666667
193;26422;56.9666666666667;24.05
194;26477;56.35;30.6166666666667
195;26479;56.4833333333333;31.6333333333333
196;26499;56.5;34.9333333333333
197;26614;55.0833333333333;21.9333333333333
198;26629;54.8833333333333;23.8333333333333
199;26701;54.65;19.8833333333333
200;26702;54.7;20.6166666666667
201;26706;54.3666666666667;21.3
202;26730;54.6333333333333;25.1
203;26781;54.75;32.0666666666667
204;26850;53.9333333333333;27.6333333333333
205;26898;53.25;34.3166666666667
206;26976;53.0166666666667;31.6
207;26997;52.5833333333333;33.7666666666667
208;27008;59.4;35.9333333333333
209;27037;59.3166666666667;39.9166666666667
210;27051;59.8833333333333;42.75
211;27066;59.5333333333333;45.4666666666667
212;27083;59.85;48.2833333333333
213;27164;58.8166666666667;44.3166666666667
214;27199;58.6;49.6333333333333
215;27208;57.8;35.8833333333333
216;27225;58.1;38.7
217;27277;57.85;45.7666666666667
218;27296;58.1;49.9166666666667
219;27333;57.7333333333333;40.85
220;27385;57.3666666666667;47.9166666666667
221;27425;56.7166666666667;38.8333333333333
222;27459;56.2666666666667;44
223;27485;56.7166666666667;47.8833333333333
224;27509;55.5166666666667;36
225;27595;55.7333333333333;49.2
226;27612;55.8333333333333;37.6166666666667
227;27625;55.1333333333333;38.7333333333333
228;27648;54.95;41.7666666666667
229;27665;55.0333333333333;44.5
230;27675;55.1833333333333;46.3333333333333
231;27707;54.1;35.35
232;27730;54.6333333333333;39.7
233;27756;54.4333333333333;43.7666666666667
234;27814;53.65;37.2333333333333
235;27823;53.7833333333333;39.25
236;27857;53.4833333333333;42.6333333333333
237;27872;53.85;46.4166666666667
238;27947;52.8;41.5
239;27962;53.1166666666667;45.0166666666667
240;27995;52.9833333333333;49.4333333333333
241;28009;59.3666666666667;52.2166666666667
242;28064;59.6166666666667;65.7166666666667
243;28138;58.5166666666667;58.85
244;28144;58.8666666666667;60.7833333333333
245;28224;58.0166666666667;56.3
246;28255;58.05;63.6833333333333
247;28275;58.15;68.25
248;28312;57.6333333333333;53.8166666666667
249;28367;57.1166666666667;65.4333333333333
250;28402;56.9;51.0666666666667
251;28411;56.8333333333333;53.45
252;28418;56.4666666666667;53.7333333333333
253;28419;56.2666666666667;54.9
254;28434;56.65;57.7833333333333
255;28440;56.8333333333333;60.6333333333333
256;28445;56.7333333333333;61.0666666666667
257;28493;56.9;74.3833333333333
258;28506;55.7666666666667;52.0666666666667
259;28537;55.7;57.9
260;28552;56.0666666666667;63.65
261;28561;56.0166666666667;65.7
262;28573;56.1;69.4333333333333
263;28624;55.1333333333333;55.35
264;28630;55.1666666666667;59.6666666666667
265;28661;55.4666666666667;65.4
266;28666;55.25;67.3
267;28679;54.8333333333333;69.15
268;28698;55.0166666666667;73.3833333333333
269;28704;54.5;50.4166666666667
270;28719;54.0333333333333;54.1833333333333
271;28722;54.7166666666667;55.8333333333333
272;28748;54.0833333333333;61.6166666666667
273;28802;53.9166666666667;51.2666666666667
274;28823;53.8666666666667;57.4166666666667
275;28825;53.5833333333333;56
276;28833;53.8833333333333;59.2
277;28895;53.7833333333333;73.8833333333333
278;28900;53.25;50.2166666666667
279;28952;53.2166666666667;63.6166666666667
280;29023;59.85;81.95
281;29111;59.2166666666667;78.2333333333333
282;29154;58.8833333333333;87.75
283;29231;58.3;82.8833333333333
284;29263;58.45;92.15
285;29282;58.3833333333333;97.45
286;29313;57.5666666666667;79.4333333333333
287;29328;57;82.0666666666667
288;29348;57.0666666666667;86.2166666666667
289;29379;57.2;94.55
290;29393;57.65;99.5333333333333
291;29418;56.3333333333333;78.3666666666667
292;29430;56.5;84.9166666666667
293;29467;56.2833333333333;90.5166666666667
294;29539;55.6666666666667;84.4
295;29541;56.0666666666667;85.6166666666667
296;29557;55.75;88.3
297;29570;56.0333333333333;92.75
298;29580;56.1666666666667;95.2666666666667
299;29594;55.95;98
300;29605;55.2166666666667;75.9666666666667
301;29612;55.3333333333333;78.3666666666667
302;29638;54.9;82.95
303;29645;55.25;86.2166666666667
